
6260736. Done: 6.0, Runtime: 2.54460144043
6260737. Done: 6.0, Runtime: 2.65223693848
6260738. Done: 6.0, Runtime: 2.37380981445
6260744. Done: 6.0, Runtime: 2.98885345459
6260745. Done: 6.0, Runtime: 2.84144592285
6260747. Done: 6.0, Runtime: 5.44834136963
6260770. Done: 7.0, Runtime: 4.45499420166
6260771. Done: 7.0, Runtime: 4.55791473389
6260772. Done: 7.0, Runtime: 1.90309143066
6260773. Done: 7.0, Runtime: 6.24107360840
6260774. Done: 7.0, Runtime: 6.14755249023
6260780. Done: 7.0, Runtime: 5.27130126953
6260781. Done: 7.0, Runtime: 5.21700286865
6260792. Done: 7.0, Runtime: 3.21833801270
6260793. Done: 7.0, Runtime: 3.01863861084
6260794. Done: 7.0, Runtime: 3.28751373291
6260796. Done: 7.0, Runtime: 4.66298675537
6260797. Done: 7.0, Runtime: 3.33335113525
6260816. Done: 7.0, Runtime: 7.32893371582
6260817. Done: 7.0, Runtime: 7.33621978760
6260818. Done: 7.0, Runtime: 7.19893646240
6260819. Done: 7.0, Runtime: 7.24440765381
6260832. Done: 7.0, Runtime: 7.28122711182
6260833. Done: 7.0, Runtime: 7.48966217041
6260834. Done: 7.0, Runtime: 7.35245513916
6260835. Done: 7.0, Runtime: 7.92257690430
6278449. Done: 7.0, Runtime: 7.62945556641
6278450. Done: 7.0, Runtime: 2.79521179199
6278451. Done: 7.0, Runtime: 8.32533264160
6278452. Done: 7.0, Runtime: 9.23252868652
6278453. Done: 7.0, Runtime: 9.85144805908
6278462. Done: 7.0, Runtime: 0.348136901855
6278463. Done: 7.0, Runtime: 10.1429138184
6278469. Done: 7.0, Runtime: 16.3814926147
6278470. Done: 7.0, Runtime: 17.8650741577
6278471. Done: 7.0, Runtime: 16.9141616821
6278472. Done: 7.0, Runtime: 17.5469665527
6278473. Done: 7.0, Runtime: 18.5536117554
6278479. Done: 7.0, Runtime: 22.4290390015
6278480. Done: 7.0, Runtime: 14.9851531982
6278481. Done: 8.0, Runtime: 20.7669601440
6278482. Done: 8.0, Runtime: 22.1429748535
6278505. Done: 8.0, Runtime: 11.0511398315
6278506. Done: 8.0, Runtime: 11.6601333618
6278507. Done: 8.0, Runtime: 13.0371017456
6278508. Done: 8.0, Runtime: 11.1902008057
6278509. Done: 8.0, Runtime: 11.1679229736
6285023. Done: 8.0, Runtime: 15.4975967407
6285029. Done: 8.0, Runtime: 9.25226593018
6285031. Done: 8.0, Runtime: 0.00299072265625
6285032. Done: 8.0, Runtime: 9.04577636719
6285033. Done: 8.0, Runtime: 8.94504547119
6285039. Done: 8.0, Runtime: 19.5551223755
6285040. Done: 8.0, Runtime: 23.3217010498
6285041. Done: 8.0, Runtime: 22.4119720459
6285042. Done: 8.0, Runtime: 23.8037490845
6285043. Done: 8.0, Runtime: 21.2227935791
